Submission Number, AveErr, RMS, AUE, tau, R, maxErr, Percent Correct Sign, error slope, CorrectLipinski, compare slope
50, -7 +/- 3, 17 +/- 3, 9 +/- 2, 0.60 +/- 0.08, 0.66 +/- 0.08, 44 +/- 2, 79 +/- 7, 0.38 +/- 0.09, 0.82 +/- 0.07, 7 +/- 2
51, 1.7 +/- 0.7, 4.6 +/- 0.5, 3.8 +/- 0.5, 0.2 +/- 0.1, 0.3 +/- 0.2, 9.2 +/- 0.6, 61 +/- 9, 0.5 +/- 0.1, 0.52 +/- 0.08, 0.6 +/- 0.4
53, 0.6 +/- 0.4, 2.6 +/- 0.3, 2.1 +/- 0.3, 0.4 +/- 0.1, 0.5 +/- 0.1, 7 +/- 1, 70 +/- 8, 0.100 +/- 0.07, 0.73 +/- 0.08, 0.8 +/- 0.3
54, -1.0 +/- 0.4, 2.3 +/- 0.3, 1.7 +/- 0.3, 0.59 +/- 0.08, 0.74 +/- 0.07, 7 +/- 1, 79 +/- 7, 0.7 +/- 0.1, 0.79 +/- 0.07, 1.4 +/- 0.2
55, -12 +/- 3, 22 +/- 3, 14 +/- 3, 0.59 +/- 0.09, 0.6 +/- 0.1, 48 +/- 2, 79 +/- 7, 0.38 +/- 0.09, 0.82 +/- 0.07, 8 +/- 2
56, -1.1 +/- 0.4, 2.6 +/- 0.5, 1.7 +/- 0.3, 0.67 +/- 0.07, 0.77 +/- 0.06, 8 +/- 1, 94 +/- 5, 0.8 +/- 0.1, 0.85 +/- 0.07, 1.7 +/- 0.3
57, -12 +/- 3, 22 +/- 3, 14 +/- 3, 0.59 +/- 0.09, 0.6 +/- 0.1, 48 +/- 2, 79 +/- 7, 0.38 +/- 0.09, 0.82 +/- 0.07, 8 +/- 2
58, -2.9 +/- 0.6, 4.5 +/- 0.5, 3.5 +/- 0.5, 0.3 +/- 0.1, 0.5 +/- 0.1, 9.4 +/- 0.6, 64 +/- 8, 0.6 +/- 0.1, 0.58 +/- 0.09, 1.5 +/- 0.4
60, 0.3 +/- 0.3, 2.0 +/- 0.3, 1.6 +/- 0.2, 0.5 +/- 0.1, 0.6 +/- 0.1, 6 +/- 1, 79 +/- 7, 1.10 +/- 0.07, 0.79 +/- 0.07, 0.9 +/- 0.2
61, -1.5 +/- 0.4, 2.6 +/- 0.3, 2.1 +/- 0.3, 0.48 +/- 0.09, 0.64 +/- 0.08, 6.2 +/- 0.7, 70 +/- 8, 0.5 +/- 0.1, 0.70 +/- 0.08, 1.2 +/- 0.2
62, 1.0 +/- 0.6, 3.2 +/- 0.5, 2.4 +/- 0.4, 0.2 +/- 0.1, 0.2 +/- 0.2, 10 +/- 2, 55 +/- 8, 0.8 +/- 0.1, 0.61 +/- 0.08, 0.2 +/- 0.3
63, -7 +/- 3, 17 +/- 3, 9 +/- 2, 0.60 +/- 0.09, 0.66 +/- 0.08, 44 +/- 2, 79 +/- 7, 0.4 +/- 0.1, 0.82 +/- 0.07, 7 +/- 1
64, 1.3 +/- 0.8, 4.5 +/- 0.4, 3.8 +/- 0.4, 0.3 +/- 0.1, 0.4 +/- 0.2, 9.2 +/- 0.7, 64 +/- 8, 0.47 +/- 0.09, 0.55 +/- 0.09, 0.8 +/- 0.4
65, -2.1 +/- 0.6, 4.0 +/- 0.4, 3.2 +/- 0.4, 0.2 +/- 0.1, 0.3 +/- 0.2, 8.4 +/- 0.5, 61 +/- 8, 0.7 +/- 0.1, 0.58 +/- 0.09, 0.10 +/- 0.4
66, 1.4 +/- 0.8, 4.5 +/- 0.4, 3.9 +/- 0.4, 0.3 +/- 0.1, 0.4 +/- 0.2, 9.2 +/- 0.6, 61 +/- 9, 0.45 +/- 0.09, 0.55 +/- 0.09, 0.8 +/- 0.4
68, 2.1 +/- 0.5, 3.3 +/- 0.3, 2.8 +/- 0.3, 0.46 +/- 0.09, 0.66 +/- 0.09, 7.2 +/- 0.7, 70 +/- 8, 0.33 +/- 0.09, 0.52 +/- 0.09, 0.9 +/- 0.3
70, -7 +/- 3, 17 +/- 3, 9 +/- 2, 0.60 +/- 0.09, 0.67 +/- 0.08, 44 +/- 2, 79 +/- 7, 0.36 +/- 0.09, 0.82 +/- 0.07, 7 +/- 1
71, -10.1 +/- 0.6, 10.7 +/- 0.7, 10.1 +/- 0.6, 0.2 +/- 0.1, 0.2 +/- 0.2, 19 +/- 1, 58 +/- 9, 0.19 +/- 0.04, 0.52 +/- 0.09, 2.0 +/- 0.9
72, -2.4 +/- 0.5, 3.5 +/- 0.5, 2.7 +/- 0.4, 0.58 +/- 0.08, 0.74 +/- 0.07, 9 +/- 1, 70 +/- 8, 0.39 +/- 0.09, 0.70 +/- 0.08, 1.8 +/- 0.3
73, 0.1 +/- 0.4, 2.1 +/- 0.2, 1.6 +/- 0.2, 0.50 +/- 0.09, 0.72 +/- 0.09, 4.3 +/- 0.3, 79 +/- 7, 0.6 +/- 0.1, 0.85 +/- 0.07, 1.2 +/- 0.2
74, -2.5 +/- 0.4, 3.6 +/- 0.5, 2.7 +/- 0.4, 0.59 +/- 0.08, 0.73 +/- 0.07, 9.4 +/- 0.9, 70 +/- 8, 0.43 +/- 0.09, 0.70 +/- 0.08, 1.9 +/- 0.3
75, 3.6 +/- 0.5, 4.5 +/- 0.4, 3.8 +/- 0.4, 0.2 +/- 0.1, 0.3 +/- 0.2, 8.3 +/- 0.4, 52 +/- 9, 0.39 +/- 0.09, 0.45 +/- 0.09, -0.1 +/- 0.4
76, 1.7 +/- 0.8, 4.6 +/- 0.5, 3.8 +/- 0.5, 0.2 +/- 0.1, 0.3 +/- 0.2, 9.2 +/- 0.6, 64 +/- 8, 0.5 +/- 0.1, 0.55 +/- 0.09, 0.6 +/- 0.4
